stock_price,timestamp
182.54,2023-06-12 16:30:00
182.71,2023-06-12 17:30:00
183.309,2023-06-12 18:30:00
183.84,2023-06-12 19:30:00
182.76,2023-06-13 13:30:00
183.4,2023-06-13 14:30:00
183.17,2023-06-13 15:30:00
183.0208,2023-06-13 16:30:00
182.84,2023-06-13 17:30:00
182.98,2023-06-13 18:30:00
183.31,2023-06-13 19:30:00
184.225,2023-06-14 13:30:00
184.21,2023-06-14 14:30:00
184.115,2023-06-14 15:30:00
183.73,2023-06-14 16:30:00
182.65,2023-06-14 17:30:00
183.51,2023-06-14 18:30:00
183.96,2023-06-14 19:30:00
185.84,2023-06-15 13:30:00
185.84,2023-06-15 14:30:00
185.2,2023-06-15 15:30:00
185.09,2023-06-15 16:30:00
185.805,2023-06-15 17:30:00
186.18,2023-06-15 18:30:00
186.02,2023-06-15 19:30:00
185.9082,2023-06-16 13:30:00
185.48,2023-06-16 14:30:00
185.7301,2023-06-16 15:30:00
185.8,2023-06-16 16:30:00
185.31,2023-06-16 17:30:00
184.915,2023-06-16 18:30:00
185.02,2023-06-16 19:30:00
184.81,2023-06-20 13:30:00
185.0601,2023-06-20 14:30:00
185.555,2023-06-20 15:30:00
185.93,2023-06-20 16:30:00
185.77,2023-06-20 17:30:00
185.34,2023-06-20 18:30:00
185.02,2023-06-20 19:30:00
184.12,2023-06-21 13:30:00
183.14,2023-06-21 14:30:00
184.065,2023-06-21 15:30:00
184.13,2023-06-21 16:30:00
185.1,2023-06-21 17:30:00
184.505,2023-06-21 18:30:00
183.96,2023-06-21 19:30:00
185.77,2023-06-22 13:30:00
186.25,2023-06-22 14:30:00
186.07,2023-06-22 15:30:00
185.75,2023-06-22 16:30:00
186.425,2023-06-22 17:30:00
186.415,2023-06-22 18:30:00
186.97,2023-06-22 19:30:00
185.83,2023-06-23 13:30:00
186.08,2023-06-23 14:30:00
186.94,2023-06-23 15:30:00
187.337,2023-06-23 16:30:00
187.24,2023-06-23 17:30:00
186.815,2023-06-23 18:30:00
186.69,2023-06-23 19:30:00
187.7498,2023-06-26 13:30:00
186.53,2023-06-26 14:30:00
186.25,2023-06-26 15:30:00
185.985,2023-06-26 16:30:00
185.99,2023-06-26 17:30:00
186.075,2023-06-26 18:30:00
185.3,2023-06-26 19:30:00
186.85,2023-06-27 13:30:00
186.95,2023-06-27 14:30:00
187.48,2023-06-27 15:30:00
187.785,2023-06-27 16:30:00
188.195,2023-06-27 17:30:00
188.305,2023-06-27 18:30:00
188.04,2023-06-27 19:30:00
188.42,2023-06-28 13:30:00
189.015,2023-06-28 14:30:00
189.305,2023-06-28 15:30:00
189.07,2023-06-28 16:30:00
189.365,2023-06-28 17:30:00
189.02,2023-06-28 18:30:00
189.28,2023-06-28 19:30:00
189.47,2023-06-29 13:30:00
189.89,2023-06-29 14:30:00
189.675,2023-06-29 15:30:00
189.49,2023-06-29 16:30:00
189.6506,2023-06-29 17:30:00
189.4776,2023-06-29 18:30:00
189.59,2023-06-29 19:30:00
192.69,2023-06-30 13:30:00
192.385,2023-06-30 14:30:00
192.59,2023-06-30 15:30:00
192.925,2023-06-30 16:30:00
193.025,2023-06-30 17:30:00
193.49,2023-06-30 18:30:00
193.8,2023-06-30 19:30:00
192.915,2023-07-03 13:30:00
192.355,2023-07-03 14:30:00
192.115,2023-07-03 15:30:00
,2023-07-03 16:30:00
192.38,2023-07-03 17:00:00
192.35,2023-07-05 13:30:00
191.435,2023-07-05 14:30:00
191.1416,2023-07-05 15:30:00
190.99,2023-07-05 16:30:00
190.95,2023-07-05 17:30:00
191.355,2023-07-05 18:30:00
191.32,2023-07-05 19:30:00
189.94,2023-07-06 13:30:00
190.17,2023-07-06 14:30:00
190.935,2023-07-06 15:30:00
191.11,2023-07-06 16:30:00
191.03,2023-07-06 17:30:00
191.64,2023-07-06 18:30:00
191.78,2023-07-06 19:30:00
190.62,2023-07-07 13:30:00
191.2095,2023-07-07 14:30:00
192.1299,2023-07-07 15:30:00
192.56,2023-07-07 16:30:00
192.4,2023-07-07 17:30:00
191.75,2023-07-07 18:30:00
190.71,2023-07-07 19:30:00
188.9599,2023-07-10 13:30:00
187.86,2023-07-10 14:30:00
187.562,2023-07-10 15:30:00
188.09,2023-07-10 16:30:00
188.615,2023-07-10 17:30:00
188.3,2023-07-10 18:30:00
188.63,2023-07-10 19:30:00
188.11,2023-07-11 13:30:00
187.715,2023-07-11 14:30:00
187.615,2023-07-11 15:30:00
187.41,2023-07-11 16:30:00
186.881,2023-07-11 17:30:00
187.1372,2023-07-11 18:30:00
188.0505,2023-07-11 19:30:00
190.35,2023-07-12 13:30:00
189.53,2023-07-12 14:30:00
189.155,2023-07-12 15:30:00
189.3842,2023-07-12 16:30:00
189.37,2023-07-12 16:59:56
