real_profitability,order_sum,indicator_1,indicator_2
-3.953058921838143,11,2,5
-3.2009712585448806,9,2,6
-3.1344859075995575,7,2,7
-3.0957570839940622,9,2,8
-1.5189575097248542,7,2,9
0.8943388743409955,6,2,10
1.3299003441602295,5,2,11
0.998863544533094,4,2,12
-1.3712822497969521,3,2,13
-1.0266954387822902,3,2,14
-1.1806392851417948,3,2,15
-1.5650874848804728,3,2,16
-1.9162646953564506,3,2,17
-1.830836848883711,3,2,18
-2.0294408929666234,3,2,19
-1.7406405424155706,3,2,20
-1.9314217662198168,3,2,21
-1.9688564906561177,3,2,22
-1.8782992383060986,3,2,23
-0.981630161608797,2,2,24
-1.2953171140939537,2,2,25
-1.1816868992787337,2,2,26
-1.3169857503910243,2,2,27
-1.5836413306335224,2,2,28
-2.268801758852735,2,2,29
-2.183512194031514,2,2,30
-1.9535668173420377,2,2,31
-1.7817510131318985,2,2,32
-0.9026921140939537,1,2,33
-0.9026921140939537,1,2,34
-0.9026921140939537,1,2,35
-0.9026921140939537,1,2,36
-1.5907020630113204,2,2,37
-1.3336359716874582,2,2,38
-0.6456260227700914,1,2,39
-0.6456260227700914,1,2,40
-0.9026921140939537,1,2,41
-0.806447754877187,1,2,42
-0.6348861036339104,1,2,43
-0.9960848363953332,1,2,44
-0.9907528330606339,1,2,45
-1.2858164210835896,1,2,46
-0.6778319095409788,1,2,47
-0.8117995485812559,1,2,48
-1.269911829998923,1,2,49
-11.23530694960892,10,2,50
-9.755336684124806,9,2,51
-8.326608287414704,8,2,52
-7.1230205702881415,7,2,53
-5.985845781868845,6,2,54
-4.288399152231965,5,2,55
-3.236362797490105,4,2,56
-2.3336706833961514,3,2,57
-1.5727364111430115,2,2,58
-0.8091237236329315,1,2,59
-4.738098412937053,10,3,5
-3.001653774410983,7,3,6
-3.5475751783511495,7,3,7
-2.9154482105679387,6,3,8
-1.064736622020535,6,3,9
1.915781450659274,4,3,10
0.7083564583319253,4,3,11
15.536483345180088,31,3,12
-1.5442000129969413,3,3,13
-1.1996132019822794,3,3,14
-1.439411751491714,3,3,15
-1.823859951230392,3,3,16
-2.1746487186110075,3,3,17
-2.0033661689883377,3,3,18
-2.0294408929666234,3,3,19
-1.9420956560126532,3,3,20
-1.9314217662198168,3,3,21
-1.9688564906561177,3,3,22
-1.8782992383060986,3,3,23
-0.981630161608797,2,3,24
-1.2953171140939537,2,3,25
-1.1816868992787337,2,3,26
-1.3169857503910243,2,3,27
-1.5836413306335224,2,3,28
-2.268801758852735,2,3,29
-2.183512194031514,2,3,30
-1.9535668173420377,2,3,31
-1.7817510131318985,2,3,32
