real_profitability,order_sum,indicator_1,indicator_2
-4.859890622597625,11,2,5
-3.02368791192103,9,2,6
-2.492905384426944,7,2,7
-3.291097456487323,9,2,8
-0.08062402580980477,7,2,9
0.5790839751465664,6,2,10
1.0070685480962815,5,2,11
0.6760317484691458,4,2,12
-1.9066624746168248,3,2,13
-1.5628101722112544,3,2,14
-1.5034710812057428,3,2,15
-1.8879192809444207,3,2,16
-2.088372477855237,3,2,17
-1.9464990878925401,3,2,18
-2.2873510663964614,3,2,19
-1.8564862714943708,3,2,20
-1.9908100774124353,3,2,21
-2.141312096810623,3,2,22
-1.7406516396332425,3,2,23
-0.8680644692636612,2,2,24
-1.3656436305815751,2,2,25
-1.6686735342010894,2,2,26
-1.8033142458365612,2,2,27
-2.0686727229430835,2,2,28
-2.268801758852735,2,2,29
-2.183512194031514,2,2,30
-1.9535668173420377,2,2,31
-1.7817510131318985,2,2,32
-0.9026921140939537,1,2,33
-0.9026921140939537,1,2,34
-0.9026921140939537,1,2,35
-0.9026921140939537,1,2,36
-1.5907020630113204,2,2,37
-1.3336359716874582,2,2,38
-0.6456260227700914,1,2,39
-0.6456260227700914,1,2,40
-0.9026921140939537,1,2,41
-0.806447754877187,1,2,42
-0.6348861036339104,1,2,43
-0.9960848363953332,1,2,44
-0.9907528330606339,1,2,45
-1.2858164210835896,1,2,46
-0.6778319095409788,1,2,47
-0.8117995485812559,1,2,48
-1.269911829998923,1,2,49
-4.239226331592984,10,3,5
-1.495879515893491,7,3,6
-2.9597996085584786,7,3,7
-0.43629714533207586,6,3,8
0.33186073091438706,6,3,9
0.9699249502849998,4,3,10
0.02248968226662118,4,3,11
-2.3208166969771984,3,3,12
-2.7060919505226333,3,3,13
-1.8777696045147563,3,3,14
-1.9041369836549231,3,3,15
-2.2320743252358453,3,3,16
-2.432641345177111,3,3,17
-2.2614585201960415,3,3,18
-2.4003100429235906,3,3,19
-2.1708133155871296,3,3,20
-2.1011928086159357,3,3,21
-2.1386275330522366,3,3,22
-2.2256830319428036,3,3,23
-1.3091369954216214,2,3,24
-1.3656436305815751,2,3,25
-1.6686735342010894,2,3,26
-1.8033142458365612,2,3,27
-2.0686727229430835,2,3,28
-2.268801758852735,2,3,29
-2.183512194031514,2,3,30
-1.9535668173420377,2,3,31
-1.7817510131318985,2,3,32
-1.8275786826362186,2,3,33
-3.586867464597041,11,4,5
-2.073433462655208,8,4,6
-1.802521720392228,7,4,7
-1.410990116506368,6,4,8
1.0514337795322588,5,4,9
-0.3032951797897194,5,4,10
-2.2355271321559775,3,4,11
-2.2355271321559775,3,4,12
-2.448075560911902,3,4,13
-2.104223258506332,3,4,14
-1.9854635084709606,3,4,15
-2.370130008839509,3,4,16
-2.941514425129949,3,4,17
-2.8561350870198603,3,4,18
-2.796389052621832,3,4,19
-2.566892325285371,3,4,20
-2.651695472692447,3,4,21
-2.489051820948448,3,4,22
-2.1800454480501967,3,4,23
-1.3091369954216214,2,4,24
-1.685506653915132,2,4,25
-1.5724291749843227,2,4,26
-1.7070698866197944,2,4,27
-1.9724283637263165,2,4,28
-1.893189728661335,1,4,29
-1.8083541274156343,1,4,30
-1.5796326615949159,1,4,31
-1.4087313668792691,1,4,32
-0.9248865685422649,1,4,33
-2.5410100828744024,9,5,6
-1.6602523968890641,8,5,7
-1.90140116270999,4,5,8
-2.2958179424594394,4,5,9
-1.4969966400500352,3,5,10
-1.7440144310895491,3,5,11
-2.7923561034240643,3,5,12
-2.476146573833157,3,5,13
-2.132294271427587,3,5,14
-2.0135414578760615,3,5,15
-2.3394138703499676,3,5,16
-2.7115690484404733,3,5,17
-2.491741801503375,3,5,18
-2.386277329994824,3,5,19
-2.1564700289258445,3,5,20
-2.6060578887998407,3,5,21
-1.783407793976357,2,5,22
-1.5213769108647666,2,5,23
-1.7252443779719449,2,5,24
-2.215179121756456,2,5,25
-2.1027035107886722,2,5,26
-1.4301798267833095,1,5,27
-1.6941259026973245,1,5,28
-1.893189728661335,1,5,29
-1.8083541274156343,1,5,30
-1.5796326615949159,1,5,31
-1.4087313668792691,1,5,32
-0.9248865685422649,1,5,33
-3.0672553081046896,7,6,7
-3.05024226235092,5,6,8
-1.2377929676702155,3,6,9
-1.4835222997265705,3,6,10
-1.988029946312488,3,6,11
-3.004904532179989,3,6,12
-2.834003237464342,3,6,13
-2.4307709069375245,3,6,14
-1.8417256536659226,3,6,15
-1.460354971312023,2,6,16
-1.6606943451923892,2,6,17
-1.3952295143626845,2,6,18
-1.3354026267467403,2,6,19
-0.7421272127713978,2,6,20
-1.2933493422477782,2,6,21
-2.1032708173099137,2,6,22
-1.8412399341983234,2,6,23
-1.6290000187551783,2,6,24
-2.215179121756456,2,6,25
-1.2696836795423763,2,6,26
-1.4301798267833095,1,6,27
-1.6941259026973245,1,6,28
-1.893189728661335,1,6,29
-1.8083541274156343,1,6,30
-1.5796326615949159,1,6,31
-0.9087854150902672,1,6,32
-0.42249682272431394,1,6,33
0.1124530823413844,1,6,34
-3.883282643356325,7,7,8
-1.2901579604919104,4,7,9
-1.2424559225303464,3,7,10
-1.2574205104786662,3,7,11
-2.347473875368951,3,7,12
-1.3259845633257341,2,7,13
-0.9254367965573032,2,7,14
-0.8660640111270255,2,7,15
-1.3180704951298328,2,7,16
-1.518409869010199,2,7,17
-1.2985826220731007,2,7,18
-0.9725490797748988,2,7,19
-0.95645899598134,2,7,20
-1.17758996883442,2,7,21
-1.4466507957813892,2,7,22
-1.0082201029520272,2,7,23
-0.6229834549950871,2,7,24
-1.2091625579963652,2,7,25
-1.0428511462210475,2,7,26
-1.4301798267833095,1,7,27
-1.6941259026973245,1,7,28
-1.893189728661335,1,7,29
-1.3104265826021493,1,7,30
-1.0805498947879604,1,7,31
-0.9087854150902672,1,7,32
-0.42249682272431394,1,7,33
0.1124530823413844,1,7,34
-0.35731138796077594,1,7,35
-0.8931090515461626,5,8,9
-1.4362661426179772,4,8,10
-0.6745291746117609,3,8,11
-1.2238026154055712,2,8,12
-1.2238026154055712,2,8,13
-0.8797550638760652,2,8,14
-0.7615614041424896,2,8,15
-1.145791303251297,2,8,16
-1.3840775024831804,2,8,17
-1.7150925376962411,2,8,18
-1.389058995398039,2,8,19
-0.7848973447380634,2,8,20
-1.0060283175911433,2,8,21
-0.44063423202129826,2,8,22
-0.2957149130012635,2,8,23
-0.5691476541875532,2,8,24
-1.1553267571888313,2,8,25
-1.2962557559114853,1,8,26
-1.4301798267833095,1,8,27
-1.6941259026973245,1,8,28
-1.893189728661335,1,8,29
-1.3104265826021493,1,8,30
-1.0805498947879604,1,8,31
-0.9087854150902672,1,8,32
-0.3871937595046758,1,8,33
0.14794505569510163,1,8,34
-0.35731138796077594,1,8,35
-1.6917731748221758,6,9,10
-0.8672853659766624,4,9,11
-1.1645238540048701,2,9,12
-1.5817513102632696,2,9,13
-0.8208668007232356,2,9,14
-0.7615614041424896,2,9,15
-1.428415277364435,2,9,16
-1.6290257668630441,2,9,17
-1.277484224803679,2,9,18
-1.2174973441547625,2,9,19
-0.7848973447380634,2,9,20
-1.0060283175911433,2,9,21
-0.44063423202129826,2,9,22
-0.6601299323738916,2,9,23
-0.6492660395250458,2,9,24
-0.7057726746849995,2,9,25
-1.2962557559114853,1,9,26
-1.4301798267833095,1,9,27
-1.6941259026973245,1,9,28
-1.893189728661335,1,9,29
-1.8083541274156343,1,9,30
-1.0805498947879604,1,9,31
-0.9087854150902672,1,9,32
-0.3871937595046758,1,9,33
0.14794505569510163,1,9,34
0.16967636093227756,1,9,35
0.13417671617878613,1,9,36
-0.7140728660183678,1,9,37
-0.06286560576697842,6,10,11
-1.626859180748054,3,10,12
-1.896202762411672,3,10,13
-1.4642497931987797,2,10,14
-1.5399875931623122,2,10,15
-1.7896140101258577,2,10,16
-1.990224499624467,2,10,17
-1.6386829575651016,2,10,18
-0.5455500664651398,2,10,19
-0.4009251949622212,2,10,20
-0.7673122448123881,2,10,21
-0.7512134505863923,2,10,22
-0.6601299323738916,2,10,23
-0.48566137276897403,2,10,24
-0.5421680079289277,2,10,25
-1.2962557559114853,1,10,26
-1.4301798267833095,1,10,27
-1.6941259026973245,1,10,28
-1.893189728661335,1,10,29
-1.3104265826021493,1,10,30
-1.0805498947879604,1,10,31
-0.9087854150902672,1,10,32
-0.3871937595046758,1,10,33
0.14794505569510163,1,10,34
0.16967636093227756,1,10,35
-0.18896454271438656,1,10,36
-0.7140728660183678,1,10,37
-3.155098630673792,5,11,12
-1.5527114585418902,4,11,13
-0.6439767941869519,3,11,14
-0.5680539827904827,2,11,15
-0.9528038532091061,2,11,16
-0.8875963171410587,2,11,17
-0.6002815738985382,2,11,18
-0.48652971007128154,2,11,19
-0.34190483856836296,2,11,20
-0.7082918884185299,2,11,21
-1.0923523731328686,3,11,22
0.0131142601315698,2,11,23
-0.8225522638779912,1,11,24
-0.8790588990379449,1,11,25
-1.2962557559114853,1,11,26
